Channel,Energy (keV),CTS,CR,Net CR,Error
1,0.2522,0,0,0,0
2,0.5287,0,0,0,0
3,0.8052,0,0,0,0
4,1.0817,0,0,0,0
5,1.3582,0,0,0,0
6,1.6347,0,0,0,0
7,1.9112,0,0,0,0
8,2.1877,0,0,0,0
9,2.4642,0,0,0,0
10,2.7407,0,0,0,0
11,3.0172,0,0,0,0
12,3.2937,0,0,0,0
13,3.5702,0,0,0,0
14,3.8467,0,0,0,0
15,4.1232,0,0,0,0
16,4.3997,0,0,0,0
17,4.6762,0,0,0,0
18,4.9527,0,0,0,0
19,5.2292,0,0,0,0
20,5.5057,0,0,0,0
21,5.7822,0,0,0,0
22,6.0587,0,0,0,0
23,6.3352,0,0,0,0
24,6.6117,0,0,0,0
25,6.8882,0,0,0,0
26,7.1647,0,0,0,0
27,7.4412,0,0,0,0
28,7.7177,0,0,0,0
29,7.9942,0,0,0,0
30,8.2707,0,0,0,0
31,8.5472,0,0,0,0
32,8.8237,0,0,0,0
33,9.1002,0,0,0,0
34,9.3767,0,0,0,0
35,9.6532,0,0,0,0
36,9.9297,0,0,-0.002222222,0.000555556
37,10.2062,0,0,-0.04625,0.002534484
38,10.4827,0,0,-0.053888889,0.002735794
39,10.7592,0,0,-0.042361111,0.00242559
40,11.0357,0,0,-0.044583333,0.002488399
41,11.3122,0,0,-0.042777778,0.00243749
42,11.5887,0,0,-0.043333333,0.002453267
43,11.8652,0,0,-0.042361111,0.00242559
44,12.1417,0,0,-0.0425,0.002429563
45,12.4182,0,0,-0.039583333,0.002344714
46,12.6947,0,0,-0.042638889,0.00243353
47,12.9712,0,0,-0.03625,0.002243819
48,13.2477,0,0,-0.04125,0.002393568
49,13.5242,0,0,-0.039444444,0.002340597
50,13.8007,0,0,-0.041666667,0.002405626
51,14.0772,0,0,-0.040416667,0.002369267
52,14.3537,0,0,-0.041388889,0.002397594
53,14.6302,0,0,-0.038611111,0.002315741
54,14.9067,0,0,-0.039861111,0.002352927
55,15.1832,0,0,-0.044583333,0.002488399
56,15.4597,0,0,-0.040138889,0.002361111
57,15.7362,0,0,-0.039305556,0.002336473
58,16.0127,0,0,-0.042916667,0.002441444
59,16.2892,0,0,-0.042222222,0.002421611
60,16.5657,0,0,-0.046527778,0.002542084
61,16.8422,0,0,-0.043333333,0.002453267
62,17.1187,0,0,-0.0475,0.002568506
63,17.3952,0,0,-0.044444444,0.00248452
64,17.6717,0,0,-0.044722222,0.002492272
65,17.9482,0,0,-0.045416667,0.002511547
66,18.2247,0,0,-0.050972222,0.002660728
67,18.5012,0,0,-0.05625,0.002795085
68,18.7777,0,0,-0.055138889,0.002767342
69,19.0542,0,0,-0.051388889,0.002671581
70,19.3307,0,0,-0.048333333,0.002590939
71,19.6072,0,0,-0.053333333,0.002721655
72,19.8837,0,0,-0.048472222,0.002594659
73,20.1602,0,0,-0.036111111,0.002239516
74,20.4367,0,0,-0.038611111,0.002315741
75,20.7132,0,0,-0.03625,0.002243819
76,20.9897,0,0,-0.032916667,0.002138167
77,21.2662,0,0,-0.035694444,0.002226558
78,21.5427,0,0,-0.040555556,0.002373334
79,21.8192,0,0,-0.037777778,0.002290614
80,22.0957,0,0,-0.0475,0.002568506
81,22.3722,0,0,-0.04625,0.002534484
82,22.6487,0,0,-0.047777778,0.002576005
83,22.9252,0,0,-0.046944444,0.002553441
84,23.2017,0,0,-0.03625,0.002243819
85,23.4782,0,0,-0.028194444,0.001978862
86,23.7547,0,0,-0.02375,0.001816208
87,24.0312,0,0,-0.019444444,0.001643355
88,24.3077,0,0,-0.022638889,0.001773215
89,24.5842,0,0,-0.02375,0.001816208
90,24.8607,0,0,-0.017222222,0.001546601
91,25.1372,0,0,-0.019305556,0.001637476
92,25.4137,0,0,-0.02,0.001666667
93,25.6902,0,0,-0.021666667,0.001734722
94,25.9667,2,0.011111111,-0.005694444,0.008003905
95,26.2432,1,0.005555556,-0.015277778,0.005810139
96,26.5197,1,0.005555556,-0.01625,0.005821748
97,26.7962,0,0,-0.017638889,0.001565198
98,27.0727,1,0.005555556,-0.013611111,0.005790184
99,27.3492,0,0,-0.018333333,0.001595712
100,27.6257,2,0.011111111,-0.01,0.008041175
101,27.9022,0,0,-0.019027778,0.001625653
102,28.1787,0,0,-0.021111111,0.001712337
103,28.4552,2,0.011111111,-0.006944444,0.008014743
104,28.7317,0,0,-0.020277778,0.001678201
105,29.0082,1,0.005555556,-0.015416667,0.005811799
106,29.2847,1,0.005555556,-0.013055556,0.005783517
107,29.5612,1,0.005555556,-0.013472222,0.005788518
108,29.8377,0,0,-0.016388889,0.00150872
